gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DUSP5,--------,2.21995e-4,0.9996459019878005,6.586287708276844e-10,-1,1.3172575416553688e-9,7.264802034144569e-5,7.265329845975008e-5,1.4529604068289138e-4
ETV3,--------,1.62732e-4,0.9999999727757974,9.72919264855983e-10,-1,1.945838529711966e-9,7.264802034144569e-5,1.4530659691950015e-4,1.4529604068289138e-4
NR4A3,--------,0.001118376,0.9999999974813771,1.0847309169024175e-9,-1,2.169461833804835e-9,7.264802034144569e-5,2.1795989537925023e-4,1.4529604068289138e-4
ZBTB21,--------,0.004106003,0.9999999999744014,2.766963293276255e-9,-1,5.53392658655251e-9,7.264802034144569e-5,2.906131938390003e-4,1.4529604068289138e-4
AGBL5,+++-++++,1.31829e-4,2.8696757551804906e-9,0.9983675156477043,1,5.739351510360981e-9,7.265329845975008e-5,3.632401017072285e-4,1.4530659691950015e-4
GPX4,++++++++,8.7679e-4,1.0007063748233335e-8,0.9999999989714188,1,2.001412749646667e-8,1.4530659691950015e-4,3.632401017072285e-4,2.906131938390003e-4
DDT,+-++++++,5.17889e-4,1.0079054254900288e-8,0.999986272260262,1,2.0158108509800576e-8,2.1795989537925023e-4,3.632401017072285e-4,4.3591979075850045e-4
NEDD9,--------,1.23189e-4,0.9999483733755743,1.0920692053756278e-8,-1,2.1841384107512555e-8,2.9059208136578276e-4,3.632664922987504e-4,5.811841627315655e-4
CCN1,--------,9.6745e-4,0.9999997282525531,1.1548535530980338e-8,-1,2.3097071061960676e-8,2.9059208136578276e-4,4.3591979075850045e-4,5.811841627315655e-4
EGR2,--------,0.001319323,0.9999999501547238,2.0997033316459917e-8,-1,4.199406663291983e-8,2.9059208136578276e-4,5.085730892182505e-4,5.811841627315655e-4
NDUFA2,++++++++,6.12726e-5,3.093380377820801e-8,0.9998982444041906,1,6.186760755641602e-8,2.906131938390003e-4,5.811841627315655e-4,5.812263876780006e-4
SIK1,--------,0.0058867,0.9999999906239811,3.413947796999737e-8,-1,6.827895593999474e-8,3.632401017072285e-4,5.812263876780006e-4,7.26480203414457e-4
TRIB1,--------,0.001304623,0.9999852783710794,1.0421728926006095e-7,-1,2.084345785201219e-7,3.632401017072285e-4,6.538796861377507e-4,7.26480203414457e-4
ARC,-----+--,7.60893e-4,0.9996055942118608,1.0970059103704976e-7,-1,2.1940118207409952e-7,3.632401017072285e-4,7.265329845975008e-4,7.26480203414457e-4
NHP2,++++++++,2.40017e-4,1.1888663077553584e-7,0.9999998505806579,1,2.3777326155107168e-7,3.632664922987504e-4,7.991282237559027e-4,7.265329845975008e-4
RPS28,+++-++++,4.3403e-4,1.304590521400648e-7,0.8131113491677535,1,2.609181042801296e-7,4.3591979075850045e-4,7.991282237559027e-4,8.718395815170009e-4
EGR1,--------,0.002214409,0.9999978595116612,1.3836612405968402e-7,-1,2.7673224811936803e-7,5.085361423901198e-4,7.991862830572508e-4,0.0010170722847802397
LAMTOR4,+++-++++,7.60347e-4,2.43916846891738e-7,0.999619991793546,1,4.87833693783476e-7,5.085730892182505e-4,8.717762440973483e-4,0.001017146178436501
RPL8,++++++++,2.1357e-5,2.779241956726342e-7,0.9999563377611562,1,5.558483913452684e-7,5.812263876780006e-4,8.717762440973483e-4,0.0011624527753560012
NPAS4,--------,0.00108715,0.9999107136010212,2.950464822640244e-7,-1,5.900929645280488e-7,6.538321830730113e-4,8.718395815170009e-4,0.0013076643661460226
PRDX5,++++++++,1.42607e-6,3.100288475591341e-7,0.9999478787942684,1,6.200576951182682e-7,6.538796861377507e-4,9.44424264438794e-4,0.0013077593722755014
BLVRB,++++++++,0.001006611,3.123720076112197e-7,0.9999873423515317,1,6.247440152224393e-7,7.265329845975008e-4,9.44424264438794e-4,0.0014530659691950015
ZNF331,--------,0.001591073,0.9999990874835247,3.15438619056139e-7,-1,6.30877238112278e-7,7.991282237559027e-4,9.44492879976751e-4,0.0015982564475118053
C1orf43,+++-++++,0.001660319,3.37813831363474e-7,0.9990354685016362,1,6.75627662726948e-7,7.991862830572508e-4,0.0010170722847802397,0.0015983725661145017
NR4A1,--------,0.00447965,0.9999966165072333,3.395422590432873e-7,-1,6.790845180865746e-7,8.717762440973483e-4,0.001017146178436501,0.0017435524881946967
MRPL36,++++++++,7.38268e-6,3.828528825322037e-7,0.9999658815823381,1,7.657057650644074e-7,8.718395815170009e-4,0.0010897203051216855,0.0017436791630340018
YPEL5,++++++++,0.001303795,3.89420188164978e-7,0.9999977679144398,1,7.78840376329956e-7,9.44492879976751e-4,0.0010897203051216855,0.001888985759953502
EGR4,--------,0.002035188,0.999997602920862,4.025613348270762e-7,-1,8.051226696541524e-7,0.0010170722847802397,0.001089799476896251,0.0020341445695604794
COX6B1,++++++++,1.16734e-4,4.1461581356086366e-7,0.9999332517496174,1,8.292316271217273e-7,0.001017146178436501,0.001162368325463131,0.002034292356873002
UFC1,++++++++,0.009203424,4.832705167507903e-7,0.9999993641866296,1,9.665410335015806e-7,0.001089799476896251,0.001162368325463131,0.002179598953792502
ANKRD37,-+-+----,0.001004973,0.9221498646254696,4.844706246661973e-7,-1,9.689412493323945e-7,0.001162368325463131,0.0011624527753560012,0.002324736650926262
EEF2,-+--++++,8.97529e-5,5.036585287955888e-7,0.8313657508740617,1,1.0073170575911776e-6,0.0011624527753560012,0.0012350163458045768,0.0023249055507120024
PCDHB4,--------,6.68832e-4,0.9999964045338572,5.069493154111368e-7,-1,1.0138986308222736e-6,0.0012350163458045768,0.0012351060738157512,0.0024700326916091537
RPS14,+++-++++,1.74313e-4,5.929513566026426e-7,0.9970797907240145,1,1.1859027132052852e-6,0.0012351060738157512,0.0013076643661460226,0.0024702121476315024
QPRT,++++++++,6.52847e-5,6.034611794718038e-7,0.9999990712955964,1,1.2069223589436077e-6,0.0013077593722755014,0.0013076643661460226,0.0026153287322920452
RPL10A,+++-++++,2.61478e-4,7.274207693865449e-7,0.9984834454682869,1,1.4548415387730899e-6,0.0013804126707352513,0.0013076643661460226,0.0026153287322920452
KLHDC9,-++-++++,4.84111e-6,7.321817614161031e-7,0.9899741343820929,1,1.4643635228322062e-6,0.0014530659691950015,0.0013076643661460226,0.0026153287322920452
SURF1,++++++++,0.007982506,7.781260820917653e-7,0.9999999754517037,1,1.5562521641835306e-6,0.0015257192676547515,0.0013076643661460226,0.0026153287322920452
ATXN7,--------,0.002090582,0.9999997557532283,8.403136882616094e-7,-1,1.6806273765232189e-6,0.0015982564475118053,0.0013077593722755014,0.0026155187445510027
ZNF10,--------,0.003490946,0.9999999968785377,8.851791040971061e-7,-1,1.7703582081942122e-6,0.0015982564475118053,0.0013804126707352513,0.0027608253414705027
FNBP1L,--------,0.001051041,0.9999813023638099,8.857248368476069e-7,-1,1.7714496736952137e-6,0.0015982564475118053,0.0014530659691950015,0.002906131938390003
LRRC8C,--------,0.002213602,0.9999990651495416,1.0215051214781106e-6,-1,2.0430102429562213e-6,0.0015982564475118053,0.0015257192676547515,0.003051438535309503
NDUFS6,++++++++,0.002055551,1.073806790381313e-6,0.9999893541232602,1,2.147613580762626e-6,0.0015983725661145017,0.0015982564475118053,0.0031965128950236107
MDGA2,--------,0.002616667,0.9999992663849985,1.0991382882669005e-6,-1,2.198276576533801e-6,0.001670904467853251,0.0015983725661145017,0.0031967451322290033
RPL7A,++++++++,1.14484e-4,1.152843563043814e-6,0.9998293739259267,1,2.305687126087628e-6,0.0016710258645742516,0.001670904467853251,0.003341808935706502
COPS9,++++++++,2.72445e-4,1.303825050982925e-6,0.9999797752354341,1,2.60765010196585e-6,0.0017436791630340018,0.001670904467853251,0.003341808935706502
RPL36,+++-++++,2.28312e-4,1.3097266514549564e-6,0.9986681155936619,1,2.6194533029099127e-6,0.0018163324614937518,0.001670904467853251,0.003341808935706502
FAM118A,--------,0.0042653430000000004,0.999999997355038,1.420921113982928e-6,-1,2.841842227965856e-6,0.001888848528877588,0.0016710258645742516,0.0033420517291485033
MIF,++-+++++,5.35398e-4,1.4527841426188424e-6,0.9938058472514573,1,2.905568285237685e-6,0.001888985759953502,0.0017435524881946967,0.0034871049763893934
REX1BD,++++-+++,1.43341e-5,1.460724987860208e-6,0.9996762660715021,1,2.921449975720416e-6,0.001961639058413252,0.0017435524881946967,0.0034871049763893934
HERC6,++++++++,0.00288934,1.4727844377577386e-6,0.9999995448082611,1,2.9455688755154772e-6,0.002034292356873002,0.0017435524881946967,0.0034871049763893934
RPS2,++++++++,6.73894e-4,1.5285924120618568e-6,0.9999633274422609,1,3.0571848241237135e-6,0.0021069456553327523,0.0017435524881946967,0.0034871049763893934
SPRED2,------+-,0.002121304,0.995709842985885,1.5691779939467948e-6,-1,3.1383559878935897e-6,0.002179440610243371,0.0017436791630340018,0.0034873583260680036
MRPL4,++-+++++,4.65164e-4,1.6287358999824204e-6,0.9989002227259396,1,3.257471799964841e-6,0.002179598953792502,0.0018162005085361425,0.003632401017072285
TET3,----+---,0.001737538,0.9997956573851432,1.7753334584954167e-6,-1,3.5506669169908333e-6,0.0022520886305848167,0.0018163324614937518,0.0036326649229875036
RPL15,++++++++,0.001276514,1.7924092607587422e-6,0.9999931654913604,1,3.5848185215174843e-6,0.0022522522522522522,0.001888848528877588,0.003777697057755176
CCDC124,+---++++,9.17799e-7,1.912283467574574e-6,0.8502075666443552,1,3.824566935149148e-6,0.0023249055507120024,0.001888848528877588,0.003777697057755176
SNU13,++++++++,6.21323e-4,1.958915083889701e-6,0.9999988427981528,1,3.917830167779402e-6,0.0023975588491717526,0.001888848528877588,0.003777697057755176
UBE2M,-+--++++,4.9052e-5,1.987083731889262e-6,0.9453407997482175,1,3.974167463778524e-6,0.0024702121476315024,0.001888848528877588,0.003777697057755176
