gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DUSP5,--------,2.21995e-4,0.7789595346551255,1.7925271385312036e-8,-1,3.585054277062407e-8,0.6817290228841264,7.264802034144569e-5,1.4529604068289138e-4
ETV3,--------,1.62732e-4,0.15455980566481703,3.6113740042184083e-6,-1,7.2227480084368166e-6,0.29117326552851436,0.002324736650926262,0.004649473301852524
NR4A3,--------,0.001118376,0.08590471782697527,1.1178622813184171e-5,-1,2.2357245626368342e-5,0.2216491100617508,0.004068289139120959,0.008136578278241918
ZBTB21,--------,0.004106003,0.002927218020033945,0.0017448243994264356,-1,0.003489648798852871,0.044823828550672,0.04758445332364693,0.089647657101344
AGBL5,+++-++++,1.31829e-4,0.4668887022366547,2.8761384291797834e-7,-1,5.752276858359567e-7,0.49923719578641484,5.811841627315655e-4,0.001162368325463131
GPX4,++++++++,8.7679e-4,0.033041083079060785,3.059342703003488e-4,-1,6.118685406006976e-4,0.14268071195059934,0.023537958590628405,0.04707591718125681
DDT,+-++++++,5.17889e-4,0.038110642328749784,1.5189862321838405e-4,-1,3.037972464367681e-4,0.15321467490010898,0.017290228841264077,0.034580457682528154
NEDD9,--------,1.23189e-4,0.7705720203406389,4.0061174056526225e-7,-1,8.012234811305245e-7,0.6762077733381765,6.538321830730113e-4,0.0013076643661460226
CCN1,--------,9.6745e-4,0.4519942751021839,3.776984862340182e-6,-1,7.553969724680364e-6,0.4905920813657828,0.0024700326916091537,0.004940065383218307
EGR2,--------,0.001319323,0.21721764027927853,3.2399678220255286e-5,-1,6.479935644051057e-5,0.34093715946240466,0.007192154013803124,0.014384308027606247
NDUFA2,++++++++,6.12726e-5,0.5624039923382974,2.9713830824542666e-6,-1,5.942766164908533e-6,0.5521976026153287,0.0017435524881946967,0.0034871049763893934
SIK1,--------,0.0058867,0.10481324696451894,1.7332730256501628e-4,-1,3.4665460513003257e-4,0.24046494733018525,0.018815837268434436,0.03763167453686887
TRIB1,--------,0.001304623,0.6501742403689219,7.773569095686049e-6,-1,1.5547138191372098e-5,0.6031965128950236,0.0034871049763893934,0.006974209952778787
ARC,-----+--,7.60893e-4,0.8954667825291966,1.1374494559452668e-6,-1,2.2748989118905336e-6,0.7683254631311297,9.44424264438794e-4,0.001888848528877588
NHP2,++++++++,2.40017e-4,0.14141466506921174,2.936314411630258e-4,-1,5.872628823260516e-4,0.27911369415183435,0.022884126407555393,0.04576825281511079
RPS28,+++-++++,4.3403e-4,0.9123241544236587,6.119037765862497e-8,-1,1.2238075531724994e-7,0.7845986196876135,2.1794406102433709e-4,4.3588812204867417e-4
EGR1,--------,0.002214409,0.47471821302950606,2.937812406231696e-5,-1,5.875624812463392e-5,0.5028695968034871,0.006974209952778787,0.013948419905557573
LAMTOR4,+++-++++,7.60347e-4,0.49475094695391675,2.3453924021854092e-5,-1,4.6907848043708184e-5,0.5134762077733381,0.005884489647657101,0.011768979295314203
RPL8,++++++++,2.1357e-5,0.599651005673536,2.2127732460444334e-5,-1,4.425546492088867e-5,0.5730475844533236,0.005448601525608427,0.010897203051216855
NPAS4,--------,0.00108715,0.8220582256460024,6.477873917989274e-6,-1,1.2955747835978548e-5,0.7128223755902652,0.003341808935706502,0.006683617871413004
PRDX5,++++++++,1.42607e-6,0.5012121810772447,3.8973559854917655e-5,-1,7.794711970983531e-5,0.5171086087904104,0.008063930257900472,0.016127860515800944
BLVRB,++++++++,0.001006611,0.02713720358667439,0.004186591216980579,-1,0.008373182433961159,0.13178350889938248,0.0674173628768616,0.1348347257537232
ZNF331,--------,0.001591073,0.5001134743062051,5.9039167088727316e-5,-1,1.1807833417745463e-4,0.5160915365056302,0.010533962949509626,0.021067925899019253
C1orf43,+++-++++,0.001660319,0.10460449706681221,4.386585784331906e-4,-1,8.773171568663812e-4,0.2402470032691609,0.02666182346531057,0.05332364693062114
NR4A1,--------,0.00447965,0.519342343238284,5.1908354004193294e-5,-1,1.0381670800838659e-4,0.5282237559026517,0.009516890664729386,0.019033781329458772
