gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DUSP5,------,2.21995e-4,0.9999999999647893,1.1938916912867125e-12,-1,2.387783382573425e-12,7.26427429899753e-5,7.264802034144569e-5,1.452854859799506e-4
NPAS4,------,2.11793e-4,0.999999999979924,3.029676534098652e-11,-1,6.059353068197304e-11,7.26427429899753e-5,1.4529604068289138e-4,1.452854859799506e-4
NEDD9,------,1.23189e-4,0.9999999767850083,4.942118173326212e-11,-1,9.884236346652424e-11,7.26427429899753e-5,2.1794406102433709e-4,1.452854859799506e-4
ETV3,------,1.62732e-4,0.9999999999950855,2.0310770250453997e-10,-1,4.0621540500907993e-10,7.26427429899753e-5,2.9059208136578276e-4,1.452854859799506e-4
NR4A1,------,7.75511e-5,0.9999999957224751,2.126219588473835e-10,-1,4.25243917694767e-10,7.26427429899753e-5,3.632401017072285e-4,1.452854859799506e-4
ARC,------,7.60893e-4,0.9999999984185914,3.8956493094187074e-10,-1,7.791298618837415e-10,7.26427429899753e-5,4.3588812204867417e-4,1.452854859799506e-4
GBP3,++++++,0.002975392,6.503644398697638e-10,0.9999999999996564,1,1.3007288797395275e-9,7.264802034144569e-5,5.084992009298271e-4,1.4529604068289138e-4
TCFL5,++++++,0.003414279,1.8592961561340726e-9,0.999999999998064,1,3.718592312268145e-9,1.4529604068289138e-4,5.084992009298271e-4,2.9059208136578276e-4
CCN1,----+-,9.6745e-4,0.9995024944647998,2.005497895176913e-9,-1,4.010995790353826e-9,2.179282289699259e-4,5.085361423901198e-4,4.358564579398518e-4
EGR2,------,0.001319323,0.9999997416937816,2.2741497970614438e-9,-1,4.5482995941228875e-9,2.179282289699259e-4,5.811841627315655e-4,4.358564579398518e-4
ZNF331,------,0.001591073,0.9999999999883562,3.2604940661725e-9,-1,6.520988132345e-9,2.179282289699259e-4,6.538321830730113e-4,4.358564579398518e-4
EGR1,----+-,0.001833689,0.9998989784784651,6.079915209665399e-9,-1,1.2159830419330797e-8,2.179282289699259e-4,7.26480203414457e-4,4.358564579398518e-4
ASB4,++++++,0.001065553,8.173644214386065e-9,0.9999995238074261,1,1.634728842877213e-8,2.1794406102433709e-4,7.990701728897283e-4,4.3588812204867417e-4
NR4A3,------,0.001118376,0.9999999529453265,1.3343852744206853e-8,-1,2.6687705488413705e-8,2.905709719599012e-4,7.991282237559027e-4,5.811419439198024e-4
SPRED2,------,0.002121304,0.9999978693639162,1.7342673282736097e-8,-1,3.4685346565472195e-8,2.905709719599012e-4,8.717762440973483e-4,5.811419439198024e-4
SIK1,------,0.001941142,0.9999995550255308,1.833475875707084e-8,-1,3.666951751414168e-8,2.905709719599012e-4,9.44424264438794e-4,5.811419439198024e-4
XPOT,++++++,3.48571e-4,2.7430529440632284e-8,0.999999994914063,1,5.486105888126457e-8,2.9059208136578276e-4,0.0010169984018596541,5.811841627315655e-4
EGR4,------,0.002035188,0.9999999070313574,2.8412109215370404e-8,-1,5.682421843074081e-8,3.632137149498765e-4,0.0010170722847802397,7.26427429899753e-4
TRIB1,------,0.001304623,0.9999993951201078,3.305780008507073e-8,-1,6.611560017014146e-8,3.632137149498765e-4,0.0010897203051216855,7.26427429899753e-4
XRRA1,------,0.005265531,0.9999999999364617,3.767975328853843e-8,-1,7.535950657707687e-8,3.632137149498765e-4,0.001162368325463131,7.26427429899753e-4
HLA-A,++++++,0.00774014,4.286039683380734e-8,0.99999999992343,1,8.572079366761467e-8,3.632401017072285e-4,0.00123492663082958,7.26480203414457e-4
CITED2,------,0.004709407,0.9999999998712324,5.603257245528889e-8,-1,1.1206514491057778e-7,4.358564579398518e-4,0.0012350163458045768,8.717129158797036e-4
PCCB,++++++,5.58917e-4,6.228459157526997e-8,0.9999999957442787,1,1.2456918315053995e-7,4.3588812204867417e-4,0.0013075693738195554,8.717762440973483e-4
STAT6,------,4.06613e-5,0.999981998400248,6.348282475902244e-8,-1,1.2696564951804487e-7,5.084992009298271e-4,0.0013076643661460226,0.0010169984018596541
SPTY2D1,------,0.002723638,0.9999999938266384,7.279478437559606e-8,-1,1.455895687511921e-7,5.084992009298271e-4,0.0013803123864874682,0.0010169984018596541
RGS2,------,0.005417929,0.9999999990972304,7.421713559644371e-8,-1,1.4843427119288742e-7,5.084992009298271e-4,0.001452960406828914,0.0010169984018596541
TET3,------,0.001737538,0.9999998791683995,8.58805064258084e-8,-1,1.717610128516168e-7,5.084992009298271e-4,0.0015256084271703595,0.0010169984018596541
PRPSAP2,++++++,2.27577e-4,1.317390706309759e-7,0.9999818532239496,1,2.634781412619518e-7,5.085361423901198e-4,0.0015981403457794566,0.0010170722847802397
